seq_6941_11,seq_2585_2,seq_10967_12,seq_12715_30,seq_14254_27,seq_18821_9,seq_5478_50,seq_10663_42,seq_3204_2,seq_6918_183,seq_21526_88,seq_18859_7,seq_10562_42,seq_15640_54,seq_11105_171,seq_19496_1,seq_3434_34,seq_14337_1,seq_12387_7,seq_5661_15,seq_4982_54,seq_24707_6,seq_18382_109,seq_21153_5,seq_14023_84,seq_19347_37,seq_20161_41,seq_6342_10,seq_23371_5,seq_4542_24,seq_21961_14,seq_21477_105,seq_12549_33,seq_12684_5,seq_5701_81,seq_16892_23,seq_5009_11,seq_5601_2,seq_25452_16,seq_9366_54,seq_25501_128,seq_17761_2,seq_4131_72,seq_20187_10,seq_6334_9,seq_16074_12,seq_6225_3,seq_7215_18,seq_5011_11,seq_4891_50
2111.6,8333.0,2631.0,197.1,1574.8,10362.1,740.6,373.2,9514.8,1524.8,765.4,143.3,566.0,2148.6,42181.0,1391.6,3987.9,1059.7,521.5,901.9,5276.3,492.1,1020.5,23342.5,1532.8,230.1,29296.3,909.7,19041.2,13683.3,1247.6,1212.7,1850.6,3058.9,5387.9,3473.6,1265.2,35804.5,225.4,985.0,1721.4,1899.8,15657.2,3123.9,995.2,1401.6,4329.6,3037.8,2876.9,1243.0
1712.4,9718.1,2957.3,198.5,1744.9,5800.7,177.4,266.7,6654.7,970.4,646.7,155.2,491.6,1877.5,35825.3,1224.8,8038.8,907.1,584.3,666.1,10048.6,383.2,1299.9,16060.0,2095.9,241.2,43850.6,1268.1,19126.8,16967.9,672.7,1186.7,2416.7,3972.6,7170.3,1878.3,662.3,32156.5,236.2,2049.0,1467.2,2214.5,35721.7,3597.9,1097.5,1338.3,3225.7,3187.8,2407.2,895.2
1828.7,4642.3,1719.7,328.0,2165.8,7317.8,165.8,329.4,3081.5,1024.4,723.0,174.0,360.6,2531.6,58740.9,1439.4,5527.2,1280.7,491.5,718.2,7045.5,1089.2,1719.8,34442.2,1407.4,293.7,28895.1,1242.3,5100.7,17939.2,864.5,1175.5,2866.6,8296.5,6373.7,2044.3,817.2,29930.0,293.4,808.2,2644.5,2180.6,22183.4,3070.9,993.5,1417.6,3553.2,2498.2,1578.7,1195.7
1967.8,6250.0,1905.2,287.9,2331.8,12399.3,233.3,286.4,8270.6,1490.7,1416.4,167.3,750.3,1760.4,33796.4,6532.6,1306.0,1632.2,516.1,866.7,5228.5,308.1,1282.9,8490.9,2296.7,258.2,25678.1,338.1,11622.2,17219.7,567.5,1130.6,3232.6,4187.4,7101.7,1268.0,642.3,37211.5,210.7,1094.8,1190.0,2045.3,2469.9,2154.2,770.0,1212.6,3382.7,2560.7,2827.4,2328.3
2274.1,4348.1,1308.2,7075.5,2486.1,39972.4,286.1,517.9,6299.2,1479.2,596.5,256.5,1623.5,3660.5,1913.1,984.8,5225.4,1849.2,443.0,1036.2,5556.6,284.8,1054.1,8076.4,5520.6,300.0,29284.9,942.2,36974.4,24338.6,1508.5,1309.0,2235.5,5061.1,5859.8,1582.8,1398.2,28771.4,222.1,1172.7,5318.3,1734.4,19631.9,2528.3,895.5,4745.7,3417.1,25842.3,954.0,3231.9
1043.4,3521.4,1284.9,1779.5,1570.7,11214.4,1263.8,314.4,7461.9,1016.6,1643.2,133.5,712.6,2188.6,22260.3,1088.6,2316.0,1216.8,601.4,1438.3,3586.4,348.9,1103.9,6408.2,2007.4,274.3,32842.7,466.5,20793.7,14202.4,1166.4,988.6,2160.1,4061.2,7815.4,2407.1,852.2,38072.7,205.7,1011.5,1650.9,1921.2,6718.6,2552.0,852.7,1430.8,2940.1,1470.2,2868.6,2465.0
1779.5,3128.9,1242.4,264.4,1974.7,11859.3,246.9,294.9,25136.3,1110.0,719.8,194.4,509.5,2064.4,51964.1,1217.7,5234.0,1237.2,471.5,1048.5,8329.5,295.8,1192.2,13720.6,8065.3,222.7,30498.1,752.0,23026.0,22035.7,833.0,1204.8,2271.7,3934.2,6380.5,1109.0,890.3,36047.2,208.9,1184.5,2633.2,1958.6,21702.0,2126.6,679.6,1245.9,4012.2,1631.9,5088.1,1145.4
1851.2,2897.6,1493.0,438.6,1548.8,30242.1,137.8,331.1,7820.1,1101.6,664.8,141.9,392.1,3167.4,23858.8,1519.0,2317.3,910.9,359.4,1124.8,4069.8,270.7,861.5,3983.6,2634.6,274.3,35884.1,513.9,22270.0,21749.7,504.0,1065.6,2199.3,2284.9,6180.0,1217.5,867.3,38290.4,205.9,1435.7,1473.1,1519.0,5553.9,3083.1,1234.0,1332.7,3194.9,4354.3,5132.4,1971.6
1129.1,4758.0,1456.5,760.5,2022.2,10930.0,201.7,370.5,13883.5,880.3,871.6,216.3,825.1,3143.6,39140.2,1166.8,3088.7,1098.2,499.4,890.7,7815.0,375.5,1221.4,5480.4,1941.2,334.1,29777.2,570.2,23477.1,20859.5,613.1,952.8,2112.0,3709.4,7264.6,1067.5,556.4,47621.5,288.8,995.8,1749.5,1876.1,10764.2,3076.2,648.4,1104.7,2839.9,1903.0,6303.4,1228.9
1018.7,5636.4,2032.3,262.9,2509.3,7992.7,155.4,278.1,1948.0,1135.1,1418.8,146.4,394.6,1734.9,61318.4,1673.7,6220.5,1016.2,406.2,596.8,4223.7,724.3,1088.3,40959.0,1456.5,238.3,35067.2,1130.8,4014.5,17811.5,834.4,1080.1,3635.6,3431.4,6558.3,1697.2,772.9,35757.4,212.0,962.8,1529.2,2937.4,27103.6,4573.3,1171.9,1621.8,3057.7,2700.2,1126.1,575.0
1788.8,11022.4,3058.7,431.7,1977.0,19654.5,170.9,384.5,3351.2,943.5,2504.1,232.9,430.5,3150.0,31813.2,1378.8,5306.6,1569.9,685.8,475.3,6426.0,410.1,1160.5,8517.4,1204.2,446.0,34930.9,764.1,15922.0,15441.1,666.1,1216.1,3304.5,4380.2,6956.8,4259.4,567.6,32869.6,257.6,866.6,1545.6,2149.6,19571.3,4284.4,693.3,1226.7,3342.1,1416.4,1796.0,2810.9
1177.9,6759.0,1915.5,274.1,1910.6,8333.6,111.9,320.5,10434.1,1035.8,657.2,793.3,603.7,4455.4,29093.2,1372.0,6569.0,1037.5,487.4,1051.5,5252.5,334.7,1070.0,7759.5,1584.9,290.7,33513.3,1006.1,14095.5,16418.6,694.3,1029.5,2813.4,2948.2,7478.4,2624.3,617.0,35033.5,226.1,1142.7,1133.1,1767.3,23881.6,1853.0,747.6,1494.4,3498.8,4689.8,2754.2,567.0
1288.0,3072.0,1768.6,224.0,2039.3,7070.0,349.7,254.9,7604.5,893.7,790.7,137.6,590.4,3136.4,53540.2,1400.8,2743.3,1165.6,403.4,1053.3,4478.7,255.5,1361.0,19329.0,3105.4,192.1,32121.3,649.6,24533.6,17308.5,719.9,1113.1,1360.6,3483.3,4925.8,1588.8,722.3,31521.4,162.2,1122.9,1486.0,1992.0,10442.6,1993.6,919.2,1639.5,3250.9,1852.1,1706.1,1124.0
2086.3,3842.0,1143.5,4260.2,4443.9,51624.3,349.7,414.1,8980.6,930.9,1408.7,212.4,4841.9,1914.1,659.0,1073.4,4063.4,1892.8,460.2,1400.5,6982.7,287.3,1090.2,4122.7,4742.7,268.4,31810.4,804.6,65770.8,31857.1,1241.3,1593.2,5709.0,6802.8,5617.7,1266.7,1035.6,31547.4,233.4,1257.4,5371.2,1554.7,13242.4,2369.9,886.2,4090.7,3791.3,20294.3,1130.0,1176.6
1635.1,5744.7,1867.0,347.1,1630.4,8417.2,295.2,386.1,2182.0,2805.0,2304.8,167.6,570.8,3521.4,24430.6,1207.9,17089.0,1209.1,525.6,783.9,13336.1,759.6,960.8,22598.4,1616.5,300.7,32856.5,2105.7,7982.7,16539.7,728.9,1270.1,2514.8,3047.4,5704.8,1620.1,641.9,27258.0,229.3,1052.7,12536.7,2534.6,71961.1,1931.3,717.1,1492.0,4688.2,1813.8,2085.6,976.7
1550.8,5690.4,1621.9,295.8,1937.4,14401.6,203.9,365.3,1512.0,1468.1,613.3,315.0,1581.2,2179.5,32538.4,1459.2,50048.9,1035.3,523.5,664.3,5766.1,2021.2,970.5,47094.7,1515.4,313.0,38167.6,6018.2,6253.3,17383.9,1501.3,1047.8,2938.3,2577.6,6520.1,1806.5,767.2,15761.4,222.7,1036.7,1202.0,2261.8,197250.2,2826.5,777.7,1708.4,2975.1,1708.4,980.0,1225.9
2027.4,4206.8,1737.3,367.7,1763.2,9131.6,150.1,246.2,6545.8,1042.5,529.7,150.4,421.4,2222.0,50030.0,1239.4,5709.4,883.1,522.4,797.4,4646.4,543.3,1147.0,21374.6,1881.3,232.6,40321.4,977.3,29525.5,16266.4,1090.0,1022.7,4450.5,3460.8,7287.2,1774.3,856.9,31574.1,207.4,1111.6,1330.7,2381.7,23565.2,4433.8,1073.1,1469.3,3507.6,4329.2,3349.9,1482.8
1414.4,3255.2,1652.3,319.1,2038.8,12474.9,1503.7,259.0,10386.3,870.0,866.7,152.0,1087.7,2386.5,42930.6,1426.9,2983.2,1083.9,524.1,866.8,8430.0,447.9,1174.6,20186.0,1680.1,224.1,30673.3,616.7,28942.2,17789.3,1298.6,1116.0,3301.4,4078.6,7231.3,1405.8,1262.5,28776.3,577.3,1084.3,1466.8,1952.1,10030.6,4276.9,1090.6,1620.2,3151.6,3075.7,2253.8,1292.0
1730.5,5686.9,2078.9,150.4,1852.3,22252.2,733.9,267.7,14370.1,684.8,1017.4,147.5,708.0,4109.0,29492.6,1245.2,6075.6,1588.8,496.8,940.6,8862.5,294.6,794.9,7290.2,1708.9,266.9,41590.4,983.4,9475.8,18783.1,991.2,1251.4,1586.7,2554.5,5573.7,1291.8,1629.8,27551.9,209.5,1078.6,2463.7,2067.5,22789.3,2485.6,853.3,1317.0,3003.2,1639.1,4961.1,3370.9
1668.9,5469.1,2170.0,211.7,1900.6,8265.1,172.2,301.2,15269.7,1001.2,1075.5,142.8,435.3,2873.5,24911.0,1182.9,5594.6,1300.3,580.0,1427.3,5835.3,250.0,1318.8,7157.7,9278.1,232.0,38431.6,1005.7,12257.9,17853.1,620.1,1066.7,2635.3,4229.8,7206.8,1540.4,594.5,27974.0,353.0,1061.6,1512.1,2081.7,24213.2,4015.9,929.7,1337.4,2986.0,1857.4,4883.5,666.5
1450.1,5733.0,1903.0,1303.6,2100.6,13135.0,160.8,275.2,7844.8,1949.0,905.4,139.1,853.7,2069.2,22379.0,1279.1,5117.1,1103.2,529.0,826.4,4403.9,293.3,1190.1,9196.6,3200.5,222.0,33359.7,1003.5,23430.2,15543.5,911.8,1592.9,3554.5,3594.3,7316.6,1501.2,791.1,34771.6,190.8,1144.4,1714.4,2753.4,19074.0,4880.6,944.4,1445.3,3608.9,2724.4,3996.3,3406.8
1161.4,7002.7,3441.0,327.5,1982.6,7835.5,307.2,385.7,13537.8,1124.4,5194.5,196.9,627.6,1832.3,26184.0,1369.2,7594.2,962.1,618.5,1014.2,9183.9,325.0,1350.6,44069.6,1937.0,255.1,29370.1,1019.7,27085.0,18504.4,937.0,1060.9,3223.7,4012.5,6806.2,1082.1,1063.8,35669.1,218.8,1116.3,2076.7,2188.2,31328.9,2253.6,773.9,4072.9,3664.9,1805.6,6984.5,1596.5
1436.5,4448.4,1735.1,256.0,1915.4,25827.3,290.5,305.9,4158.3,907.0,1071.8,193.8,383.5,3321.2,75970.5,2554.3,7994.0,1078.8,517.4,1404.9,5957.4,304.3,1071.7,3368.9,1785.2,541.0,28215.2,1099.8,15813.5,19204.9,1285.1,975.1,2457.5,2453.6,6331.8,2189.6,669.2,26953.2,290.5,1324.9,1698.3,4372.2,34134.5,2426.1,818.4,1206.6,3756.4,1711.2,3181.4,1217.8
1762.9,4245.4,1670.5,339.1,2079.6,9579.5,200.9,337.7,3105.9,1098.8,894.0,167.1,366.0,2534.9,102961.0,1545.7,7017.0,1076.7,414.9,485.1,4251.4,1016.6,1460.5,33048.6,1406.4,301.9,37507.1,803.1,18911.7,20165.4,636.1,1010.9,3485.2,3948.8,8738.1,2684.3,738.9,37139.4,256.5,762.0,1590.6,1988.3,29566.4,4057.0,859.8,1340.4,3297.8,1739.9,1921.7,2521.9
2632.9,3957.1,1676.6,213.9,1812.2,8187.4,396.8,377.3,9067.9,1374.2,952.9,216.7,622.2,2126.6,44027.5,2483.5,3084.8,1103.7,776.1,879.8,6132.1,422.8,1069.1,19742.7,1482.6,276.6,33502.7,642.7,12952.7,15132.5,689.8,1195.1,2692.7,3299.8,6940.0,1779.8,569.1,32796.2,233.1,994.8,6609.0,2175.1,11200.2,3121.4,767.0,1044.3,3777.8,2519.1,1865.3,1781.6
2762.6,7832.6,2111.6,196.5,2035.6,13945.3,230.1,401.2,3278.1,1449.0,719.4,165.1,314.7,2801.4,70208.8,1386.7,8083.2,1364.8,548.3,530.8,7107.0,583.4,1308.4,37530.9,1658.6,292.8,43665.4,1707.9,17788.0,20563.2,629.7,1175.4,3134.3,3460.5,6558.9,2930.5,868.7,29682.5,78360.8,756.2,1371.9,1934.3,33707.8,3530.3,800.4,1116.0,3300.4,3230.9,2187.5,3033.2
2015.0,3899.6,1500.9,298.8,1799.2,5639.6,177.0,2730.8,2050.0,864.9,566.3,136.9,380.4,2491.9,30934.4,1517.7,5208.8,1135.7,555.6,647.0,2988.9,743.0,879.5,26490.3,1502.7,357.0,31958.0,910.5,14722.9,18115.8,1056.4,1109.8,4366.7,3184.0,7816.3,2292.6,721.7,28005.1,206.0,1119.9,1871.4,2014.1,20626.9,4615.2,839.8,1356.0,3949.3,3885.2,1169.7,1050.1
1748.9,4162.0,1717.0,371.0,2353.6,4181.1,177.5,266.6,3193.5,775.4,1243.5,150.1,380.5,1870.2,143346.1,1483.8,6789.5,1245.3,484.8,567.7,4982.7,1140.2,1805.1,58559.2,1761.5,253.1,34146.8,966.0,4946.7,18121.5,1215.9,1015.9,3327.3,5020.1,5606.2,2373.6,1368.0,30501.4,226.5,828.2,1449.6,2246.6,33464.1,2792.7,1230.8,1824.3,3584.1,1404.8,1543.9,1471.6
2667.7,4949.0,1602.9,295.7,2009.0,6373.1,275.1,422.3,7055.4,1406.1,468.6,231.9,450.9,2911.5,49867.7,1048.8,3511.1,1062.2,467.7,839.8,6911.1,344.1,1278.3,16500.1,3953.2,308.2,33008.8,657.6,10754.6,14015.6,702.7,1061.5,2583.4,3706.9,6665.9,1443.3,751.2,32773.2,257.9,946.2,1484.0,3037.9,10904.5,3576.1,711.8,1350.8,3756.5,3875.1,2632.8,1608.2
